Address     memory content
4020         03
4021         20
4022         1D
4023         77
4024         10
4025         40
4026         C7
4027         05
4028         00
4029         14
4054         00
4055         41
4056         26
4057         00
4058         00
4059         08
405A         00
405B         40
405C         51
405D         00
405E         00
405F         04
4060         00
4061         00
4062         83
4099         03
409A         10
409B         40
409C         40
409D         77
409E         20
409F         27
40A0         05
40A1         10
40A2         00
40A3         14
40D3         00
40D4         41
40D5         26
40D6         00
40D7         00
40D8         08
40D9         00
40DA         40
40DB         51
40DC         00
40DD         00
40DE         04
40DF         00
40E0         00
40E1         83
40FA         03
40FB         10
40FC         40
40FD         40
40FE         77
40FF         10
4100         40
4101         C7
4102         05
4103         10
4104         00
4105         14
4124         00
4125         41
4126         26
4127         00
4128         00
4129         08
412A         00
412B         40
412C         51
412D         00
412E         00
412F         04
4130         00
4131         00
4132         83
